Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;HS;AS;HST;AST;HF;AF;HC;AC;HY;AY;HR;AR;B365H;B365D;B365A;spi1;spi2;HomeBudget;AwayBudget;Extrangeros;ExtrangerosAway
08/01/2017;Ath Bilbao;Alaves;0;0;D;0;0;D;15;10;4;4;10;13;13;4;2;4;0;0;1,53;3,8;7,5;76,29;65,9;188,5;64,85;1;11
07/01/2018;Ath Bilbao;Alaves;2;0;H;1;0;H;14;8;8;1;23;20;4;1;2;4;0;0;1,66;3,5;6;26,73;30,53;188,5;64,85;1;11
21/08/2016;Ath Madrid;Alaves;1;1;D;0;0;D;27;2;6;1;7;15;20;2;0;4;0;0;1,2;6,5;17;61,23;76,96;585;64,85;19;11
16/12/2017;Ath Madrid;Alaves;1;0;H;0;0;D;10;11;4;0;14;16;4;4;3;4;0;0;1,19;6,5;15;72,72;74,81;585;64,85;19;11
10/09/2016;Barcelona;Alaves;1;2;A;0;1;A;16;5;2;4;12;12;13;0;1;1;0;0;1,07;12;34;72,49;88,95;772,5;64,85;17;11
28/01/2018;Barcelona;Alaves;2;1;H;0;1;A;18;7;12;4;6;18;8;1;0;2;0;0;1,08;11;26;69,75;64,35;772,5;64,85;17;11
30/04/2017;Betis;Alaves;1;4;A;1;0;H;11;9;3;5;14;16;4;0;1;5;0;0;2,1;3,2;3,8;49,3;67,22;95,55;64,85;9;11
21/10/2017;Betis;Alaves;2;0;H;1;0;H;12;7;5;3;18;9;6;5;2;2;0;0;1,57;4;6;47,95;38,16;95,55;64,85;9;11
15/01/2017;Celta;Alaves;1;0;H;0;0;D;13;9;4;1;19;10;7;4;4;3;0;1;1,7;3,75;5,25;72,69;70,7;114,565;64,85;16;11
10/09/2017;Celta;Alaves;1;0;H;1;0;H;20;5;3;3;17;17;9;4;4;4;0;0;1,67;3,75;5,25;47,27;48,69;114,565;64,85;16;11
11/12/2016;Eibar;Alaves;0;0;D;0;0;D;8;3;1;3;14;7;7;2;1;1;0;0;1,83;3,6;4,5;70,76;58,61;71,75;64,85;9;11
15/04/2018;Eibar;Alaves;0;1;A;0;1;A;21;2;4;1;11;18;12;1;2;1;0;0;1,83;3,39;4,75;71,79;65,85;71,75;64,85;9;11
08/04/2017;Espanol;Alaves;1;0;H;0;0;D;15;9;6;0;11;13;5;3;3;3;0;0;2,1;3,1;3,8;70,63;68,93;85,45;64,85;7;11
01/04/2018;Espanol;Alaves;0;0;D;0;0;D;12;13;3;4;18;12;6;5;3;2;0;0;2,04;3,2;3,75;23,11;46,47;85,45;64,85;7;11
18/11/2017;Getafe;Alaves;4;1;H;2;0;H;13;11;8;5;18;14;4;5;3;3;0;0;1,8;3,5;4,75;52,74;49,07;48,75;64,85;18;11
04/12/2017;Girona;Alaves;2;3;A;0;0;D;11;9;3;4;8;13;6;5;1;2;0;0;1,6;3,79;6;65,48;60,93;35,6;64,85;13;11
01/03/2017;Granada;Alaves;2;1;H;1;0;H;13;11;6;5;19;15;4;4;6;4;0;2;2,63;3,2;2,8;49,77;67,85;85,5;64,85;30;11
18/02/2017;La Coruna;Alaves;0;1;A;0;0;D;16;6;4;4;13;13;10;6;5;3;0;0;2;3,1;4,2;55,35;85,5;92,8;64,85;16;11
20/09/2017;La Coruna;Alaves;1;0;H;1;0;H;15;8;3;3;16;19;5;2;0;2;0;0;1,91;3,3;4,5;76,89;83,45;92,8;64,85;16;11
23/04/2017;Las Palmas;Alaves;1;1;D;1;0;H;14;12;3;5;16;14;3;9;4;1;1;0;2;3,5;3,8;73,52;67,81;123;64,85;15;11
22/04/2018;Las Palmas;Alaves;0;4;A;0;0;D;12;10;1;7;14;19;3;3;2;2;0;0;3,1;3,2;2,39;33,01;54,44;123;64,85;15;11
20/05/2017;Leganes;Alaves;1;1;D;0;0;D;15;17;4;5;9;14;8;4;0;1;0;0;2,1;3,25;3,75;71,7;72,23;53,63;64,85;15;11
18/08/2017;Leganes;Alaves;1;0;H;1;0;H;16;6;9;3;14;18;4;2;0;1;0;0;2,05;3,2;4,1;33,4;33,4;53,63;64,85;15;11
30/09/2017;Levante;Alaves;0;2;A;0;1;A;13;8;0;3;11;18;8;4;2;4;0;0;1,83;3,5;4,5;78,06;63,89;59,35;64,85;15;11
11/03/2017;Malaga;Alaves;1;2;A;0;1;A;15;4;9;2;17;13;5;3;2;1;0;1;2;3,3;4;83,27;66,11;88,43;64,85;17;11
05/11/2016;Osasuna;Alaves;0;1;A;0;0;D;10;12;4;3;18;10;3;4;5;2;0;0;2,25;3,2;3,4;55,91;62,74;36,8;64,85;9;11
02/04/2017;Real Madrid;Alaves;3;0;H;1;0;H;18;12;6;3;12;16;3;3;0;2;0;0;1,11;10;19;91,86;69,85;743,1;64,85;18;11
24/02/2018;Real Madrid;Alaves;4;0;H;1;0;H;25;11;10;5;9;14;9;5;1;2;0;0;1,14;8,5;17;40,18;32,63;743,1;64,85;18;11
01/10/2016;Sevilla;Alaves;2;1;H;0;0;D;20;6;12;1;10;13;9;2;2;6;0;0;1,44;4,33;8;66,34;60,04;236,4;64,85;24;11
22/10/2016;Sociedad;Alaves;3;0;H;1;0;H;16;10;5;3;17;20;4;2;3;5;0;0;1,67;3,75;5,5;73,19;63,95;165,1;64,85;6;11
