Club;Plantilla;Edad;Extranjeros;Valor del mercado total
FB Barcelona;37;24,7;18;787,2
Real Madrid CF;33;24,2;18;743,1
Atlético de Madrid;47;23,3;31;456,9
Valencia CF;40;24;18;286,4
Sevilla FC;40;24,4;24;236,4
Villareal CF;39;24,3;15;158,7
Athletic Club;35;25,1;1;151,6
Real Sociedad;34;24,5;5;110,5
Celta de Vigo;32;24,5;15;95,5
Deportivo de La Coruña;37;25,8;16;92,8
Granada CF;43;24,1;30;85,5
RCD Espanyol;35;25,8;10;84,7
Real Betis Balompié;31;25,4;14;76,8
Málaga CF;32;25;16;73,9
UD Las Palmas;33;25,7;9;55,9
SD Eibar;38;24,3;6;52,1
Sporting de Gijón;33;24,7;9;50,5
CD Leganés;37;24,4;11;47,3
Deportivo de Alavés;30;24,4;11;39,8
CA Osasuna;37;24,5;9;36,8
